Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU
Nordic;Melitta;;;;6553111;19434;KAFFEMASKINER;CAFFEO SOLO, SVART;CAFFEO SOLO, SORT;4,01E+12;4,01E+12;4,01E+12;E950-101;1;380;300;545;9,7;1;;380;300;545;9,7;8;16;1050;;;2605;2605;2605;2605
Nordic;Melitta;;;;6563530;19499;GLASKANNOR ;GLASKANNA LOOK III / IV, SVART;GLASKANDE LOOK III / IV, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;138;0,44;1;;190;175;138;0,4;24;144;1100;;;109;109;109;109
Nordic;Melitta;;;;6573287;19597;KAFFEMASKINER;CAFFEO SOLO, SILVER/SVART;CAFFEO SOLO, SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E950-103;1;380;300;545;9,7;1;;380;300;545;9,7;8;16;1050;;;2605;2605;2605;2605
Nordic;Melitta;;;;6575694;19637;GLASKANNOR ;GLASKANNA GRANDE 1,6L, SVART;GLASKANDE GRANDE 1,6L, SORT;4,01E+12;4,01E+12;4,01E+12;;1;144;186;176;0,42;1;;144;186;176;0,4;24;120;1170;;;78,4;78,4;94,3;94,3
Nordic;Melitta;;;;6578268;19668;THERMKANNOR ;TERMOKANNA LOOK THERM  DE LUXE III, SVART/SILVER;TERMOKANDELOOK THERM  DE LUXE III, SORT/SILVER;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;180;180;188;0,9;24;96;800;;;174,9;174,9;150,5;150,5
Nordic;Melitta;;;;6578275;19669;THERMKANNOR ;TERMOKANNA LOOK THERM III, SVART;TERMOKANDELOOK THERM III, SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;190;175;138;0,4;24;144;1100;;;174,9;174,9;150,5;150,5
Nordic;Melitta;;;;6578251;19677;THERMKANNOR ;TERMOKANNA LOOK THERM DE LUXE III, VIT/SILVER;TERMOKANDELOOK THERM DE LUXE III, HVID/SILVER;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;180;180;188;0,9;24;96;800;;;174,9;174,9;150,5;150,5
Nordic;Melitta;;;;6604646;19816;KAFFEMASKINER;CAFFEO CI SVART;CAFFEO CI SORT;4,01E+12;4,01E+12;4,01E+12;E970-103;1;571;387;419;11,3;1;;571;387;419;11,3;4;8;980;;;6533;6533;6533;6533
Nordic;Melitta;;;;6604776;19817;KAFFEMASKINER;CAFFEO CI SILVER;CAFFEO CI SILVER;4,01E+12;4,01E+12;4,01E+12;E970-101;1;571;387;419;11,3;1;;571;387;419;11,3;4;8;980;;;6533;6533;6533;6533
Nordic;Melitta;X;;;6581428;19818;TILLBEHÖR ;MOTION PLATTA;MOTION PLADE;4,01E+12;4,01E+12;4,01E+12;;1;262;348;47;1,44;1;;348;262;47;1,4;48;288;192;;;424;424;424;424
Nordic;Melitta;;;6591540;6761196;19932;VATTENKOKARE ;VATTENKOKARE LOOK AQUA SVART;ELKEDEL LOOK AQUA SORT;4,01E+12;4,01E+12;4,01E+12;H205-1;1;172;217;275;1,2;1;9;217;172;275;1,2;24;72;1120;;;469;469;268;268
Nordic;Melitta;X; ;;6603038;20152;GLASKANNOR ;GLASKANNA ENJOY  ;GLASKANDE ENJOY  ;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;190;166;127;0,3;24;196;1046;;;91;91;98;98
Nordic;Melitta;;;;6603045;20153;THERMKANNOR ;TERMOKANNA ENJOY, VIT/SVART;TERMOKANDEENJOY, HVID/SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;182;182;186;0,9;24;120;1080;;;165;165;165;165
Nordic;Melitta;;;;6618643;20288;KAFFEMASKINER;CAFFEO SOLO MILK, SILVER/SVART;CAFFEO SOLO MILK, SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E953-101;1;545;300;380;10,4;1;;380;300;545;10,4;8;16;1050;;;3590;3590;3590;3590
Nordic;Melitta;;;;6515031;20320;KAFFEBRYGGARE ;ENJOY THERM, SVART;ENJOY THERM, SORT;4,01E+12;4,01E+12;4,01E+12;;1;233;260;390;2,71;1;3;233;260;390;2,71;12;24;995;;;370;370;325;325
Nordic;Melitta;;;;6614751;20321;VATTENKOKARE ;VATTENKOKARE ENJOY, SVART;ELKEDEL ENJOY, SORT;4,01E+12;4,01E+12;4,01E+12;10030;1;174;228;270;1,45;1;6;228;174;248;1,5;18;54;894;;;275;275;231;231
Nordic;Melitta;X;;;6621346;20405;THERMKANNOR ;TERMOKANNA ENJOY SVART;TERMOKANDEENJOY SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;182;182;186;0,9;24;120;1080;;;165;165;165;165
