Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU;NET_III;REK_UT_PRIS;Promo_pris;ICA;Coop;B-dahl;Axfood;EEL ;Elkjöp;Mediamarkt;Expert;DK;Transferpris 2013 per PC (materialnr);Kalkylerat lagervärde Klippan 2013 per PC (EAN);;CU   ;TU;VEJLEDE_PRIS;Promo_pris;Miljö_märkt;C_ Code
Nordic;Melitta;;;6591540;6761196;19932;VATTENKOKARE ;VATTENKOKARE LOOK AQUA SVART;ELKEDEL LOOK AQUA SORT;4,01E+12;4,01E+12;4,01E+12;H205-1;1;172;217;275;1,2;1;9;217;172;275;1,2;24;72;1120;;;469;469;268;268;149;399;299;;;9465089;;;;;;;115,0178619;119;3,982138141;214;;399;;;85161080
Nordic;Melitta;X; ;;6603038;20152;GLASKANNOR ;GLASKANNA ENJOY  ;GLASKANDE ENJOY  ;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;190;166;127;0,3;24;196;1046;;;91;91;98;98;;;;;;;;;;;;;26,23;26,91;0,679999999;;;;;;70134200
Nordic;Melitta;;;;6603045;20153;THERMKANNOR ;TERMOKANNA ENJOY, VIT/SVART;TERMOKANDEENJOY, HVID/SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;182;182;186;0,9;24;120;1080;;;165;165;165;165;;;;;;;;;;;;;67,34;69,22;1,88;;;;;;96170000
Nordic;Melitta;;;;6618643;20288;KAFFEMASKINER;CAFFEO SOLO MILK, SILVER/SVART;CAFFEO SOLO MILK, SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E953-101;1;545;300;380;10,4;1;;380;300;545;10,4;8;16;1050;;;3590;3590;3590;3590;;3990;3490;5652326;;;;;;X;;;1563,12;1574,420001;11,30000093;2558;;4995;;;85167100
Nordic;Melitta;;;;6515031;20320;KAFFEBRYGGARE ;ENJOY THERM, SVART;ENJOY THERM, SORT;4,01E+12;4,01E+12;4,01E+12;;1;233;260;390;2,71;1;3;233;260;390;2,71;12;24;995;;;370;370;325;325;187;499;399;;;;;;;X;;;154,02;171,11;17,09;UDG;;;;;85167100
Nordic;Melitta;;;;6614751;20321;VATTENKOKARE ;VATTENKOKARE ENJOY, SVART;ELKEDEL ENJOY, SORT;4,01E+12;4,01E+12;4,01E+12;10030;1;174;228;270;1,45;1;6;228;174;248;1,5;18;54;894;;;275;275;231;231;143,05;349;249;;;;;;;;;;108,3024338;112,04;3,737566251;167,5;;349;;;85161080
Nordic;Melitta;X;;;6621346;20405;THERMKANNOR ;TERMOKANNA ENJOY SVART;TERMOKANDEENJOY SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;;182;182;186;0,9;24;120;1080;;;165;165;165;165;;;;;;;;;;;;;67,42;69,3;1,88;;;;;;96170000
Nordic;Melitta;;;;6626280;20418;GLASKANNOR ;GLASKANNA SINGLE 5, SVART;GLASKANDE SINGLE 5, SORT;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,33;1;;151;151;132;0,4;24;264;942;;;107,1;107,1;107,1;107,1;;;;;;;;;;;;;24,25;24,93000002;0,680000017;;;;;;70134200
Nordic;Melitta;;;;6644598;20518;KAFFEBRYGGARE ;LOOK THERM D.L SST/SVART;RJ ENJOY TOP HVID;4,01E+12;4,01E+12;4,01E+12; ;1;255;270;388;3,345;1;3;270;255;388;3,345;12;24;990;;;715;715;715;715;445,9;1099;999;;;;;;;;;;252,41;274,1;21,69;UDG;;;;;85167100
Nordic;Melitta;X;w 47 2016;;6644659;20528;GLASKANNOR ;GLASKANNA LOOK III / IV, SVART/SST;GLASKANDE LOOK III / IV, SORT/SST;4,01E+12;4,01E+12;4,01E+12;;1;175;190;138;0,44;1;;175;190;138;0,44;24;144;973;;;144;144;144;144;90;199;199;;;;;105396;;;;;;;0;;;;;;70134200
